experiment,dataset,subjects,target,label,split,model,accuracy,balanced_accuracy,f1_weighted,chance_accuracy,leakage_over_chance,n_train,n_test,train_runs,test_runs,normalization,features
Privacy Exp 1: subjects 1-10 random trial,PhysioNet Motor Imagery,1-10,subject identification,subject_ids,"random stratified trial split, test_size=0.2",Logistic Regression,1.0,1.0,1.0,0.1,10.0,360,90,mixed,mixed,none,summary + channel correlation
Privacy Exp 1: subjects 1-10 random trial,PhysioNet Motor Imagery,1-10,subject identification,subject_ids,"random stratified trial split, test_size=0.2",Random Forest,1.0,1.0,1.0,0.1,10.0,360,90,mixed,mixed,none,summary + channel correlation
Privacy Exp 2: subjects 1-10 run-held-out,PhysioNet Motor Imagery,1-10,subject identification,subject_ids,"run-held-out: train runs [4, 8], test run 12",Logistic Regression,1.0,1.0,1.0,0.1,10.0,300,150,"4,8",12,none,summary + channel correlation
Privacy Exp 2: subjects 1-10 run-held-out,PhysioNet Motor Imagery,1-10,subject identification,subject_ids,"run-held-out: train runs [4, 8], test run 12",Random Forest,0.9933333333333333,0.9933333333333334,0.9933259176863181,0.1,9.933333333333332,300,150,"4,8",12,none,summary + channel correlation
Privacy Exp 3: subjects 1-50 random trial,PhysioNet Motor Imagery,1-50,subject identification,subject_ids,"random stratified trial split, test_size=0.2",Logistic Regression,0.9977728285077951,0.9977777777777778,0.9977659332400174,0.02,49.88864142538976,1796,449,mixed,mixed,none,summary + channel correlation
Privacy Exp 3: subjects 1-50 random trial,PhysioNet Motor Imagery,1-50,subject identification,subject_ids,"random stratified trial split, test_size=0.2",Random Forest,0.9977728285077951,0.9977777777777778,0.9977659332400174,0.02,49.88864142538976,1796,449,mixed,mixed,none,summary + channel correlation
Privacy Exp 4: subjects 1-50 run-held-out,PhysioNet Motor Imagery,1-50,subject identification,subject_ids,"run-held-out: train runs [4, 8], test run 12",Logistic Regression,0.9852941176470589,0.9852380952380954,0.9850670391204326,0.02,49.26470588235294,1497,748,"4,8",12,none,summary + channel correlation
Privacy Exp 4: subjects 1-50 run-held-out,PhysioNet Motor Imagery,1-50,subject identification,subject_ids,"run-held-out: train runs [4, 8], test run 12",Random Forest,0.9919786096256684,0.992,0.9918788464115644,0.02,49.59893048128342,1497,748,"4,8",12,none,summary + channel correlation
Privacy Exp 5: subjects 1-50 run-held-out normalized,PhysioNet Motor Imagery,1-50,subject identification,subject_ids,"run-held-out: train runs [4, 8], test run 12",Logistic Regression,0.9866310160427807,0.9866666666666667,0.9864460408999276,0.02,49.331550802139034,1497,748,"4,8",12,per-trial per-channel z-score,summary + channel correlation
Privacy Exp 5: subjects 1-50 run-held-out normalized,PhysioNet Motor Imagery,1-50,subject identification,subject_ids,"run-held-out: train runs [4, 8], test run 12",Random Forest,0.9919786096256684,0.992,0.9918788464115643,0.02,49.59893048128342,1497,748,"4,8",12,per-trial per-channel z-score,summary + channel correlation
"Privacy Exp 6: subjects 1-50 run-held-out normalized, no connectivity",PhysioNet Motor Imagery,1-50,subject identification,subject_ids,"run-held-out: train runs [4, 8], test run 12",Logistic Regression,0.6871657754010695,0.687904761904762,0.6895930677105786,0.02,34.35828877005348,1497,748,"4,8",12,per-trial per-channel z-score,summary only
"Privacy Exp 6: subjects 1-50 run-held-out normalized, no connectivity",PhysioNet Motor Imagery,1-50,subject identification,subject_ids,"run-held-out: train runs [4, 8], test run 12",Random Forest,0.8435828877005348,0.8433333333333333,0.8411835706717347,0.02,42.17914438502674,1497,748,"4,8",12,per-trial per-channel z-score,summary only
